Schülerforschungszentrum BerchtesgadenSalzburger Straße 1583471 Berchtesgaden;2.08;apa05-2x1;Online seit 2022-01-18 08:18;Aruba -> AP-303H;Gesamt:     (004 - 3 - 3 - 3.02)eduroam:    (001 - 1 - 1 - 1.00)lrz:  (001 - 1 - 1 - 1.00)@BayernWLAN: (002 - 1 - 1 - 1.02)
TUM, Geb. 5406, Chemiegebäude Bau Ch6Lichtenbergstraße 485748 Garching;46204, Chemisch-technisches Labor;apa09-4ag;Online seit 2022-02-24 09:03;Aruba -> AP-303H;Gesamt:     (014 - 3 - 3 - 4.61)eduroam:    (011 - 1 - 1 - 2.55)lrz:  (001 - 1 - 1 - 1.00)mwn-events:  (000 - 0 - 0 - 0.00)@BayernWLAN: (002 - 1 - 1 - 1.06)
WSI, Geb. 5112, Walter-Schottky-InstitutAm Coulombwall 485748 Garching ;Foyer, 1.OG, WSI, TUM Garching;apa02-1ay;Online seit 2022-03-08 09:18;Alcatel-Lucent -> OAW-AP135;Gesamt:     (021 - 3 - 3 - 6.99)eduroam:    (017 - 1 - 1 - 4.92)lrz:  (002 - 1 - 1 - 1.01)mwn-events:  (000 - 0 - 0 - 0.00)@BayernWLAN: (002 - 1 - 1 - 1.06)Sonstige:  (000 - 0 - 0 - 0.00)
LMU, SternwarteScheinerstraße 181679 München;Z003 Hoersaal;apa03-0zj;Online seit 2022-01-18 08:28;Alcatel-Lucent -> OAW-AP325;Gesamt:     (027 - 5 - 3 - 11.08)eduroam:    (010 - 2 - 1 - 2.28)lrz:  (003 - 1 - 1 - 1.64)mwn-events:  (000 - 0 - 0 - 0.00)@BayernWLAN: (014 - 2 - 1 - 7.16)Sonstige:  (000 - 0 - 0 - 0.00)
LRZ, InstitutstraktBoltzmannstraße 185748 Garching;Unbekannter Standort;apa61-2wl;Online seit 2022-01-26 12:23;Aruba -> AP-655;Gesamt:     (006 - 5 - 4 - 4.20)eduroam:    (002 - 2 - 1 - 1.03)mwn-events:  (001 - 1 - 1 - 1.00)@BayernWLAN: (002 - 1 - 1 - 1.17)Sonstige:  (001 - 1 - 1 - 1.00)
TUM, Geb. 2330-2334, CiO Campus im Olympiapark (ZHS)Connollystr. 3280809 München;00.2330.219, Gerätemeisterei;apa36-0ez;Online seit 2022-03-17 07:28;Aruba -> AP-303H;Gesamt:     (005 - 3 - 3 - 3.03)eduroam:    (003 - 1 - 1 - 1.03)lrz:  (001 - 1 - 1 - 1.00)@BayernWLAN: (001 - 1 - 1 - 1.00)
HSWT, Geb. 4179 (C4), PappelalleeWeihenstephaner Berg 585354 Freising;C4.304;apa05-1pr;Online seit 2022-01-18 08:28;Alcatel-Lucent -> OAW-AP325;Gesamt:     (014 - 4 - 3 - 3.53)eduroam:    (010 - 1 - 1 - 1.27)lrz:  (001 - 1 - 1 - 1.00)mwn-events:  (000 - 0 - 0 - 0.00)@BayernWLAN: (003 - 2 - 1 - 1.26)Sonstige:  (000 - 0 - 0 - 0.00)
TUM, Geb. 5403, Chemiegebäude Bau Ch3Lichtenbergstraße 485748 Garching;23202, Chemielabor;apa09-2ad;Online seit 2022-03-17 01:38;Alcatel-Lucent -> OAW-AP325;Gesamt:     (016 - 3 - 3 - 6.72)eduroam:    (011 - 1 - 1 - 4.42)lrz:  (002 - 1 - 1 - 1.02)@BayernWLAN: (003 - 1 - 1 - 1.28)
TUM, Geb. 5403, Chemiegebäude Bau Ch3Lichtenbergstraße 485748 Garching;23205, Chemielabor;apa10-2ad;Online seit 2022-03-17 01:38;Alcatel-Lucent -> OAW-AP325;Gesamt:     (008 - 3 - 3 - 3.40)eduroam:    (005 - 1 - 1 - 1.39)lrz:  (001 - 1 - 1 - 1.00)mwn-events:  (000 - 0 - 0 - 0.00)@BayernWLAN: (002 - 1 - 1 - 1.01)
HM, Gebäude K, AltbauAm Stadtpark 2081243 München;K U.101;apa08-krk;Online seit 2022-03-02 01:38;Aruba -> AP-303H;Gesamt:     (006 - 3 - 3 - 3.88)eduroam:    (001 - 1 - 1 - 1.00)lrz:  (002 - 1 - 1 - 1.13)mwn-events:  (000 - 0 - 0 - 0.00)@BayernWLAN: (003 - 1 - 1 - 1.75)Sonstige:  (000 - 0 - 0 - 0.00)
